neighbourhood,CountyName,zillow_price_january,zillow_price_february,zillow_price_march,zillow_price_april,zillow_price_may,zillow_price_june,zillow_price_july,zillow_price_august,zillow_price_september,zillow_price_october,zillow_price_november,zillow_price_december,nypd_precinct,borough,airbnb_count_december,airbnb_count_november,airbnb_count_october,airbnb_count_september,airbnb_count_august,airbnb_count_july,airbnb_count_june,airbnb_count_may,airbnb_count_april,airbnb_count_march,airbnb_count_february,airbnb_count_january,misdemeanor_count_december,misdemeanor_count_november,misdemeanor_count_october,misdemeanor_count_september,misdemeanor_count_august,misdemeanor_count_july,misdemeanor_count_june,misdemeanor_count_may,misdemeanor_count_april,misdemeanor_count_march,misdemeanor_count_february,misdemeanor_count_january,felony_count_december,felony_count_november,felony_count_october,felony_count_september,felony_count_august,felony_count_july,felony_count_june,felony_count_may,felony_count_april,felony_count_march,felony_count_february,felony_count_january,violation_count_december,violation_count_november,violation_count_october,violation_count_september,violation_count_august,violation_count_july,violation_count_june,violation_count_may,violation_count_april,violation_count_march,violation_count_february,violation_count_january
SUNNYSIDE,Richmond County,643918,642185,640017,637360,633335,631181,630078,628790,627254,626780,626076,626986,120,Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
TOMPKINSVILLE,Richmond County,494313,495704,494468,492413,488862,487313,486325,486711,488172,489812,490923,490679,120,Staten Island,44,5,5,4,7,8,8,9,7,7,25,24,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
WEST BRIGHTON,Richmond County,550402,549521,544731,540941,538707,538467,539254,539740,541061,541614,541607,539992,120,Staten Island,22,20,18,20,16,18,19,19,20,19,37,38,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
WILLOWBROOK,Richmond County,589648,589774,586895,583699,580304,578573,578247,577964,577683,576177,573956,572012,120,Staten Island,1,0,0,0,0,0,0,0,0,0,1,1,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
BULLS HEAD,Richmond County,539482,538965,536727,533802,530693,528563,528324,527539,526712,524252,521703,519715,121,Staten Island,3,0,0,0,0,0,0,0,0,0,5,2,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
BLOOMFIELD,Richmond County,624196,625873,620310,611238,604997,603231,604807,607853,607233,606002,604239,604265,121,Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
CHELSEA-TRAVIS,Richmond County,524103,522395,520353,517907,515968,514589,514360,513546,511515,508476,505409,503829,121,Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
ELM PARK,Richmond County,400192,400591,399775,398647,397723,397389,395483,393649,390937,389377,388070,387104,121,Staten Island,0,6,7,5,4,5,5,5,4,3,12,10,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
GRANITEVILLE,Richmond County,411399,412012,411404,410117,408659,408723,408505,407717,406610,404319,402386,400754,121,Staten Island,2,1,2,2,2,2,2,2,2,2,4,4,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
HEARTLAND VILLAGE,Richmond County,425818,426023,424677,423458,422603,422444,422071,421006,420167,418437,416771,415243,121,Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
MARINER'S HARBOR,Richmond County,396592,396377,394139,392586,390768,390957,389928,388765,386501,384972,384371,384118,121,Staten Island,11,5,4,4,5,3,4,3,6,6,9,9,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
NEW SPRINGVILLE,Richmond County,608645,607017,603734,600605,597285,595883,595612,594693,593352,590847,588371,586550,121,Staten Island,4,2,1,1,1,3,2,5,2,2,6,6,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
PORT IVORY,Richmond County,330970,330793,330727,330236,329252,329927,331076,332370,332607,332986,332312,331204,121,Staten Island,2,0,0,0,0,0,0,0,0,0,0,0,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
PORT RICHMOND,Richmond County,441334,442372,440023,435808,431563,429420,428517,427496,425701,423715,421660,420217,121,Staten Island,9,5,5,6,7,6,6,7,6,4,11,12,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
WESTERLEIGH,Richmond County,570703,570019,567782,564469,560740,558959,558974,559126,559580,558562,556377,555195,121,Staten Island,4,1,1,2,1,1,1,2,1,1,3,3,109,132,107,143,151,159,113,138,125,141,150,157,77,78,88,82,72,87,67,83,66,61,44,76,0,0,0,1,0,0,0,1,1,2,1,0
ARROCHAR,Richmond County,592941,592692,590496,588791,586847,586523,584177,581469,578848,576916,573951,571419,122,Staten Island,21,0,0,0,1,0,1,1,1,1,1,1,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
BAY TERRACE-STATEN ISLAND,Richmond County,549399,548042,544720,543238,543054,544771,545843,547457,548098,546477,544040,542369,122,Staten Island,1,0,0,0,0,0,0,0,0,0,0,0,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
BUTLER MANOR,Richmond County,832266,833961,832819,832688,829357,827985,826016,826281,826450,826470,825400,823707,122,Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
CHARLESTON,Richmond County,747309,749413,746459,740161,733589,729089,725955,724667,725128,724538,723305,721757,122,Staten Island,0,0,0,0,0,0,0,1,0,0,0,0,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
DONGAN HILLS,Richmond County,557971,556592,554661,553563,552702,553133,552664,552610,552326,551706,549895,549208,122,Staten Island,7,4,4,4,5,2,3,5,5,5,7,7,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
GRANT CITY,Richmond County,581276,580369,578016,576379,574225,574073,573652,573254,572367,570979,569541,569294,122,Staten Island,9,3,2,3,4,3,3,3,1,1,3,3,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
GRASMERE - CONCORD,Richmond County,620340,619766,617161,614376,611203,610854,609771,608746,606924,604509,601578,600242,122,Staten Island,0,7,9,8,13,9,8,10,8,8,20,18,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
GREAT KILLS,Richmond County,561354,560731,558314,556964,556130,557097,557949,559219,559811,558746,556926,555825,122,Staten Island,8,8,6,4,8,9,6,7,7,7,11,11,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
GREENRIDGE,Richmond County,489593,490119,488382,486577,485453,486331,487523,488329,488348,487797,487171,486532,122,Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
LIGHTHOUSE HILL,Richmond County,1043918,1046179,1042179,1038093,1034535,1036253,1036592,1035388,1033309,1028694,1023625,1018027,122,Staten Island,2,2,1,0,1,1,1,1,1,1,2,2,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
MIDLAND BEACH,Richmond County,546183,545176,542617,540274,538326,538143,537598,537437,536715,535625,534033,533612,122,Staten Island,9,2,2,4,3,3,3,4,3,3,7,6,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
NEW DORP,Richmond County,651612,650418,647679,646412,644208,643376,642809,643744,643526,642870,642442,642608,122,Staten Island,1,0,1,0,0,1,1,1,1,1,3,2,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
NEW DORP BEACH,Richmond County,535499,535862,534661,533907,531353,530389,529480,529139,528271,525779,523074,521856,122,Staten Island,5,4,2,3,3,2,1,1,2,2,5,5,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
OAKWOOD,Richmond County,581254,583165,581767,580795,578528,579115,579375,579912,579661,577526,575656,574492,122,Staten Island,3,1,1,2,2,2,1,2,1,1,2,2,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
OLD TOWN,Richmond County,607732,606705,604439,603463,602628,603178,601942,601272,600158,599233,596503,595081,122,Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
RICHMOND TOWN,Richmond County,595793,596006,593767,592654,590616,590058,589914,590423,591010,589377,587707,586425,122,Staten Island,2,1,0,1,0,0,0,0,0,0,0,0,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
SOUTH BEACH,Richmond County,555838,553615,549709,545860,543115,542290,540964,539181,537563,536000,533798,532325,122,Staten Island,7,8,7,10,10,9,6,5,8,8,15,15,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
TODT HILL,Richmond County,1211369,1211516,1207751,1204779,1203289,1205515,1205113,1204828,1204524,1202195,1199678,1195503,122,Staten Island,4,1,1,1,1,1,1,1,1,1,1,0,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
TOTTENVILLE,Richmond County,618580,618758,617400,615087,613516,612496,612355,612000,612967,611888,611228,609537,122,Staten Island,8,4,3,3,3,2,2,2,3,3,4,4,54,73,83,101,98,125,115,125,111,133,107,112,38,50,56,39,52,55,53,53,43,54,48,40,1,0,0,0,0,0,0,0,1,2,0,1
ANNADALE,Richmond County,754903,753631,750432,748533,746396,745549,744157,743632,743161,742013,739978,738229,123,Staten Island,0,2,2,3,3,3,3,3,3,3,4,2,42,39,48,64,44,53,89,53,53,78,54,66,16,30,7,26,20,24,27,31,20,21,33,33,0,0,0,0,0,0,0,0,0,0,1,0
ARDEN HEIGHTS,Richmond County,489897,489818,488170,486200,484670,484699,485111,485202,484889,483770,482719,481942,123,Staten Island,5,0,0,0,1,0,0,0,0,0,0,0,42,39,48,64,44,53,89,53,53,78,54,66,16,30,7,26,20,24,27,31,20,21,33,33,0,0,0,0,0,0,0,0,0,0,1,0
ELTINGVILLE,Richmond County,576654,576083,573757,572348,572010,573100,573875,574681,574668,573153,571609,570408,123,Staten Island,3,1,1,1,2,0,1,2,1,1,3,3,42,39,48,64,44,53,89,53,53,78,54,66,16,30,7,26,20,24,27,31,20,21,33,33,0,0,0,0,0,0,0,0,0,0,1,0
HUGUENOT,Richmond County,708001,706273,702370,700429,699227,698797,697665,696860,696109,693761,690716,687489,123,Staten Island,2,1,1,1,1,1,1,1,1,1,2,3,42,39,48,64,44,53,89,53,53,78,54,66,16,30,7,26,20,24,27,31,20,21,33,33,0,0,0,0,0,0,0,0,0,0,1,0
PLEASANT PLAINS,Richmond County,641833,641089,637984,635025,632105,630612,629713,629089,628701,627490,626747,625664,123,Staten Island,0,0,0,0,0,0,0,0,2,1,0,3,42,39,48,64,44,53,89,53,53,78,54,66,16,30,7,26,20,24,27,31,20,21,33,33,0,0,0,0,0,0,0,0,0,0,1,0
PRINCE'S BAY,Richmond County,712170,713046,711663,710251,708314,707085,706015,705775,706254,705045,703881,701644,123,Staten Island,3,1,1,1,1,2,2,1,1,1,1,1,42,39,48,64,44,53,89,53,53,78,54,66,16,30,7,26,20,24,27,31,20,21,33,33,0,0,0,0,0,0,0,0,0,0,1,0
RICHMOND VALLEY,Richmond County,721693,722688,721861,718563,714531,711354,709444,708533,707643,706922,706199,704808,123,Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,42,39,48,64,44,53,89,53,53,78,54,66,16,30,7,26,20,24,27,31,20,21,33,33,0,0,0,0,0,0,0,0,0,0,1,0
ROSSVILLE,Richmond County,466637,467346,465542,464210,463163,463906,464450,464452,463667,461866,460458,459063,123,Staten Island,2,1,1,0,0,0,0,0,0,0,1,1,42,39,48,64,44,53,89,53,53,78,54,66,16,30,7,26,20,24,27,31,20,21,33,33,0,0,0,0,0,0,0,0,0,0,1,0
WOODROW,Richmond County,624035,623689,620532,618536,617147,617601,617661,617990,618171,616945,615335,614256,123,Staten Island,1,0,0,0,0,0,0,0,0,0,0,0,42,39,48,64,44,53,89,53,53,78,54,66,16,30,7,26,20,24,27,31,20,21,33,33,0,0,0,0,0,0,0,0,0,0,1,0
