neighbourhood,CountyName,zillow_price_january,zillow_price_february,zillow_price_march,zillow_price_april,zillow_price_may,zillow_price_june,zillow_price_july,zillow_price_august,zillow_price_september,zillow_price_october,zillow_price_november,zillow_price_december,nypd_precinct,borough,airbnb_count_december,airbnb_count_november,airbnb_count_october,airbnb_count_september,airbnb_count_august,airbnb_count_july,airbnb_count_june,airbnb_count_may,airbnb_count_april,airbnb_count_march,airbnb_count_february,airbnb_count_january,misdemeanor_count_december,misdemeanor_count_november,misdemeanor_count_october,misdemeanor_count_september,misdemeanor_count_august,misdemeanor_count_july,misdemeanor_count_june,misdemeanor_count_may,misdemeanor_count_april,misdemeanor_count_march,misdemeanor_count_february,misdemeanor_count_january,felony_count_december,felony_count_november,felony_count_october,felony_count_september,felony_count_august,felony_count_july,felony_count_june,felony_count_may,felony_count_april,felony_count_march,felony_count_february,felony_count_january,violation_count_december,violation_count_november,violation_count_october,violation_count_september,violation_count_august,violation_count_july,violation_count_june,violation_count_may,violation_count_april,violation_count_march,violation_count_february,violation_count_january
FLATLANDS,Kings County,549474,551529,552569,552885,552746,554549,556094,557409,558764,558956,559284,559444,63,Brooklyn,77,34,36,31,34,33,35,29,35,38,64,67,63,54,66,56,79,112,73,87,116,100,84,114,57,54,53,47,60,81,48,84,85,54,65,65,1,0,0,0,0,1,1,2,3,0,1,1
GEORGETOWN,Kings County,577951,578361,576976,576203,575403,575305,575628,577378,579864,580986,581711,582310,63,Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,63,54,66,56,79,112,73,87,116,100,84,114,57,54,53,47,60,81,48,84,85,54,65,65,1,0,0,0,0,1,1,2,3,0,1,1
MARINE PARK,Kings County,691036,691127,691554,692401,691465,690156,689581,688038,686366,682270,678900,675521,63,Brooklyn,0,0,3,0,1,0,0,0,0,0,1,0,63,54,66,56,79,112,73,87,116,100,84,114,57,54,53,47,60,81,48,84,85,54,65,65,1,0,0,0,0,1,1,2,3,0,1,1
MILL BASIN,Kings County,814237,809325,806188,806112,804667,802860,801713,800347,798179,795865,793421,792806,63,Brooklyn,9,1,2,2,1,1,0,0,1,1,0,0,63,54,66,56,79,112,73,87,116,100,84,114,57,54,53,47,60,81,48,84,85,54,65,65,1,0,0,0,0,1,1,2,3,0,1,1
BOROUGH PARK,Kings County,883855,885101,882424,881702,878309,876143,872350,864319,856330,848082,841715,834954,66,Brooklyn,148,16,16,15,18,14,17,14,10,10,36,36,38,49,38,72,68,47,40,71,68,73,35,58,50,46,50,49,41,45,47,58,42,74,34,49,1,1,1,1,0,0,0,0,0,0,1,1
KENSINGTON,Kings County,618385,625071,625191,621475,615355,613069,606325,598173,594367,588876,586222,583966,66,Brooklyn,166,75,79,77,76,75,76,70,76,78,159,157,38,49,38,72,68,47,40,71,68,73,35,58,50,46,50,49,41,45,47,58,42,74,34,49,1,1,1,1,0,0,0,0,0,0,1,1
EAST FLATBUSH,Kings County,555231,559188,563220,566760,569104,572335,574981,577457,581735,585577,589420,592990,67,Brooklyn,522,189,182,186,189,184,184,181,155,150,344,343,116,142,139,185,182,201,164,229,169,229,201,214,102,128,139,146,150,168,130,163,161,155,172,188,0,1,4,2,3,7,4,7,3,6,8,8
FLATBUSH,Kings County,599524,609081,617780,622760,621091,622268,620934,619480,619835,617515,614283,610322,67,Brooklyn,639,552,528,536,547,546,532,532,527,529,782,788,116,142,139,185,182,201,164,229,169,229,201,214,102,128,139,146,150,168,130,163,161,155,172,188,0,1,4,2,3,7,4,7,3,6,8,8
BAY RIDGE,Kings County,538312,535217,539682,544892,552122,555090,555778,553701,552610,546685,542631,538402,68,Brooklyn,153,134,131,120,130,116,112,110,99,106,190,189,73,96,103,108,75,110,76,105,126,150,109,103,39,44,57,66,60,62,63,57,72,85,74,81,2,2,3,3,0,4,7,5,5,2,7,3
DYKER HEIGHTS,Kings County,975031,976463,975461,972730,969981,966713,965989,964791,964273,962675,959499,955507,68,Brooklyn,18,6,6,6,5,5,5,7,8,10,23,21,73,96,103,108,75,110,76,105,126,150,109,103,39,44,57,66,60,62,63,57,72,85,74,81,2,2,3,3,0,4,7,5,5,2,7,3
